Month_No,Month_Label,Avg_BMI,Avg_Weight_kg,Avg_Height_cm,Pct_Dewormed,Pct_Vitamins_Intake,Pct_Immunization,Pct_Vaccination,Age_Group_0_3_pct,Age_Group_4_6_pct,Pct_Improved_Next_Month
43,Jul-2023,15.13,12.98,85.7,66.8,62.5,64.7,64.1,51.2,48.8,70.7
44,Aug-2023,15.11,13.4,85.9,67.2,67.3,64.4,68.9,53.4,46.6,70.6
45,Sep-2023,14.61,13.55,86.2,71.2,65.0,66.3,67.1,51.3,48.7,71.5
46,Oct-2023,14.99,13.13,86.3,70.3,69.1,69.1,66.2,48.3,51.7,74.5
47,Nov-2023,14.98,13.26,87.1,71.1,70.9,69.0,71.9,55.0,45.0,73.5
48,Dec-2023,15.1,13.61,87.2,70.3,71.1,71.3,67.1,49.3,50.7,72.3
49,Jan-2024,14.95,13.69,87.3,72.6,73.4,68.5,68.0,51.6,48.4,76.1
50,Feb-2024,15.01,13.2,86.8,71.4,72.8,72.0,70.1,50.9,49.1,75.2
51,Mar-2024,15.04,13.87,86.6,74.9,71.9,71.1,72.2,50.0,50.0,76.7
52,Apr-2024,14.9,14.14,87.1,73.9,73.9,72.9,72.9,53.4,46.6,79.2
53,May-2024,15.03,13.7,87.1,72.3,72.1,76.0,76.6,51.8,48.2,79.8
54,Jun-2024,15.19,14.5,87.8,76.4,73.8,72.4,75.3,51.0,49.0,78.3
55,Jul-2024,15.08,13.73,88.1,78.7,76.1,77.9,76.0,50.9,49.1,82.7
56,Aug-2024,15.29,13.81,87.5,76.8,75.0,77.9,79.7,49.9,50.1,82.5
57,Sep-2024,15.14,13.99,87.5,77.7,78.0,76.1,78.1,52.8,47.2,82.4
58,Oct-2024,15.13,14.04,88.1,80.5,77.3,78.3,79.7,49.7,50.3,84.2
59,Nov-2024,15.2,14.34,87.6,77.9,77.2,79.1,79.9,51.4,48.6,85.2
60,Dec-2024,15.08,14.28,87.6,80.4,80.6,78.6,79.8,55.3,44.7,84.7
61,Jan-2025,15.48,14.13,88.4,84.3,77.7,79.5,82.1,53.0,47.0,86.7
62,Feb-2025,15.3,14.44,88.2,84.7,82.6,82.1,81.5,52.6,47.4,86.6
63,Mar-2025,15.48,14.41,88.5,86.9,84.4,81.9,84.8,52.9,47.1,85.6
64,Apr-2025,15.3,14.18,88.4,84.6,86.5,83.7,83.6,55.5,44.5,86.2
65,May-2025,15.52,14.78,88.1,87.1,85.4,83.5,85.7,58.6,41.4,90.0
66,Jun-2025,15.55,14.6,88.4,87.4,84.5,85.0,85.0,55.1,44.9,91.1
67,Jul-2025,15.7,14.66,88.8,85.5,86.0,86.3,87.7,52.5,47.5,92.6
68,Aug-2025,15.78,14.91,89.8,86.6,85.6,84.0,89.7,55.7,44.3,92.4
69,Sep-2025,15.65,14.67,90.1,88.8,88.5,88.6,89.1,55.0,45.0,92.4
70,Oct-2025,15.71,15.34,89.8,91.8,88.5,86.8,89.0,54.8,45.2,95.0
71,Nov-2025,15.42,15.34,89.3,89.6,88.6,86.7,91.3,55.0,45.0,93.6
72,Dec-2025,15.51,15.03,90.2,90.6,88.7,89.6,90.6,49.6,50.4,95.0
